frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
376,3.137596,9.015543e-01,2.228359e+02,6.909830e-05,3.200013e+00,2.840976e-01,-2.526128e+00
377,3.145941,8.438275e-01,2.235862e+02,5.576947e-05,2.730400e+00,2.499342e-01,-2.785581e+00
378,3.154286,8.056461e-01,2.235862e+02,5.542783e-05,2.707124e+00,2.104048e-01,-3.147182e+00
379,3.162630,7.980404e-01,2.224718e+02,5.167414e-06,1.551985e+00,1.650672e-01,-3.667230e+00
380,3.170975,8.194485e-01,2.195720e+02,3.291293e-06,1.289451e+00,1.247377e-01,-4.217038e+00
381,3.179320,8.023282e-01,2.153340e+02,2.344725e-06,1.211134e+00,9.811214e-02,-4.659504e+00
382,3.187664,7.899022e-01,2.108402e+02,1.956184e-06,9.240994e-01,9.035552e-02,-4.810069e+00
383,3.196009,8.038053e-01,2.068706e+02,2.035562e-06,9.477198e-01,9.503635e-02,-4.717646e+00
384,3.204354,8.427432e-01,2.016813e+02,1.124522e-06,8.328283e-01,1.156628e-01,-4.352337e+00
385,3.212698,8.613295e-01,1.957543e+02,1.145880e-06,9.191957e-01,1.393874e-01,-3.969802e+00
386,3.221043,8.589399e-01,1.913595e+02,1.759666e-06,1.035332e+00,1.622718e-01,-3.642898e+00
387,3.229388,8.320827e-01,1.896306e+02,2.051363e-06,1.079543e+00,1.752457e-01,-3.485995e+00
388,3.237732,7.843766e-01,1.893597e+02,3.220251e-06,1.419333e+00,1.864560e-01,-3.360950e+00
389,3.246077,7.748663e-01,1.888179e+02,3.419499e-06,1.445429e+00,1.926833e-01,-3.294103e+00
390,3.254422,8.090850e-01,1.882807e+02,3.865601e-06,1.498530e+00,1.934890e-01,-3.285476e+00
391,3.262766,8.678813e-01,1.869756e+02,3.278011e-06,1.408442e+00,1.899106e-01,-3.322903e+00
392,3.271111,8.962870e-01,1.846488e+02,5.557961e-06,1.593217e+00,1.860596e-01,-3.363445e+00
393,3.279456,9.045730e-01,1.820944e+02,4.174648e-06,1.303558e+00,1.822914e-01,-3.404784e+00
394,3.287800,9.030123e-01,1.803337e+02,9.554348e-06,1.697863e+00,1.719956e-01,-3.525915e+00
395,3.296145,8.891128e-01,1.793535e+02,6.109870e-06,1.181028e+00,1.562532e-01,-3.723338e+00
396,3.304490,8.693168e-01,1.781558e+02,1.026246e-05,1.664560e+00,1.327518e-01,-4.062753e+00
397,3.312834,8.489935e-01,1.760538e+02,4.338805e-06,1.071091e+00,1.080312e-01,-4.496665e+00
398,3.321179,8.295842e-01,1.722475e+02,5.084149e-06,1.343561e+00,7.747290e-02,-5.233791e+00
399,3.329524,7.827461e-01,1.674886e+02,8.492830e-07,7.651789e-01,5.198993e-02,-6.081970e+00
400,3.337868,7.147319e-01,1.644979e+02,1.086868e-06,8.881186e-01,3.284642e-02,-6.907855e+00
401,3.346213,6.739399e-01,1.647173e+02,3.279314e-07,5.856607e-01,2.537000e-02,-7.362707e+00
402,3.354558,6.354794e-01,1.715424e+02,5.042875e-07,7.317612e-01,2.259640e-02,-7.581345e+00
403,3.362902,5.752969e-01,1.868220e+02,2.829972e-07,6.237242e-01,2.119792e-02,-7.712908e+00
